0~The Girl with the Dragon Tattoo (Millennium, #1)~Stieg Larsson~2005~4.13~https://www.goodreads.com//book/show/2429135.The_Girl_with_the_Dragon_Tattoo~ A spellbinding amalgam of murder mystery, family saga, love story and financial intrigue.A Sensational #1 Bestseller â€“ Now a Major Motion Picture In Theaters March 2010.Itâ€™s about the disappearance forty years ago of Harriet Vanger, a young scion of one of the wealthiest families in Sweden . . . and about her octogenarian uncle, determined to know the truth about what he b...
1~The Girl Who Played with Fire (Millennium, #2)~Stieg Larsson~2006~4.23~https://www.goodreads.com//book/show/5060378-the-girl-who-played-with-fire~ The ExposeMillennium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.The MurderWhen a young couple are found dead in their Stockholm apartment, it's a...
2~Gone Girl (Paperback)~Gillian Flynn~2012~4.14~https://www.goodreads.com//book/show/19288043-gone-girl~ On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's dia...
3~The Girl Who Kicked the Hornet's Nest (Millennium, #3)~Stieg Larsson~2007~4.21~https://www.goodreads.com//book/show/6892870-the-girl-who-kicked-the-hornet-s-nest~ The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockhol...
4~And Then There Were None (Paperback)~Agatha Christie~1939~4.24~https://www.goodreads.com//book/show/16299.And_Then_There_Were_None~ First, there were tenâ€”a curious assortment of strangers summoned as weekend guests to a private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to revealâ€”and a secret that will seal their fate. For each has been marked for murder. One by...
5~The Cuckoo's Calling (Cormoran Strike, #1)~Robert Galbraith~2013~3.84~https://www.goodreads.com//book/show/16160797-the-cuckoo-s-calling~ The Cuckoo's Calling is a 2013 crime fiction novel by J. K. Rowling, published under the pseudonym Robert Galbraith.A brilliant mystery in a classic vein: Detective Cormoran Strike investigates a supermodel's suicide.After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Strike is down to one client, and credito...
6~The Girl on the Train (Hardcover)~Paula Hawkins~2015~3.89~https://www.goodreads.com//book/show/22557272-the-girl-on-the-train~ Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. 'Jess and Jason', she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. And then she sees something shocking....
7~In Cold Blood (Paperback)~Truman Capote~1966~4.05~https://www.goodreads.com//book/show/168642.In_Cold_Blood~ On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the kill...
8~Murder on the Orient Express (Hercule Poirot, #10)~Agatha Christie~1934~4.17~https://www.goodreads.com//book/show/853510.Murder_on_the_Orient_Express~ What more can a mystery addict desire than a much-loathed murder victim found aboard the luxurious Orient Express with multiple stab wounds, thirteen likely suspects, an incomparably brilliant detective in Hercule Poirot, and the most ingenious crime ever conceived?...
9~A Study in Scarlet (Sherlock Holmes, #1)~Arthur Conan Doyle~1887~4.17~https://www.goodreads.com//book/show/102868.A_Study_in_Scarlet~ 'There's a scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it.'From the moment Dr John Watson takes lodgings in Baker Street with the consulting detective Sherlock Holmes, he becomes intimately acquainted with the bloody violence and frightening ingenuity of the criminal mind.In...
